,cat1,cat2,cat3,brand_name
0,MEN,Tops,T-shirts,Others
1,ELE,Computers & Tablets,Components & Parts,Others
2,WOM,Tops & Blouses,Blouse,Others
3,HOM,Home Décor,Home Décor Accents,Others
4,WOM,Jewelry,Necklaces,Others
5,WOM,Other,Other,Others
6,WOM,Swimwear,Two-Piece,Acacia Swimwear
7,SPO,Apparel,Girls,Others
8,SPO,Apparel,Girls,Nike
9,VIN,Collectibles,Doll,Others
10,BEA,Makeup,Face,Others
11,BEA,Fragrance,Women,Victoria's Secret
12,WOM,Dresses,"Above Knee, Mini",Others
13,OTH,Office supplies,School Supplies,Others
14,WOM,Shoes,Boots,UGG Australia
15,BEA,Makeup,Makeup Sets,Tarte
16,BEA,Makeup,Eyes,Others
17,KID,Gear,Backpacks & Carriers,Others
18,BEA,Makeup,Makeup Palettes,Too Faced
19,WOM,Tops & Blouses,Blouse,Anthropologie
20,WOM,Tops & Blouses,"Tank, Cami",Others
21,WOM,Athletic Apparel,Sports Bras,Victoria's Secret
22,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,Samsung
23,ELE,Cell Phones & Accessories,Chargers & Cradles,Others
24,WOM,Tops & Blouses,T-Shirts,Others
25,MEN,Shoes,Athletic,Air Jordan
26,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Apple
27,WOM,Athletic Apparel,"Pants, Tights, Leggings",LuLaRoe
28,WOM,Swimwear,One-Piece,Others
29,WOM,Jeans,Boot Cut,Others
30,BEA,Makeup,Eyes,Too Faced
31,WOM,Athletic Apparel,"Pants, Tights, Leggings",Others
32,WOM,Underwear,Bras,PINK
33,BEA,Skin Care,Face,Others
34,KID,Toys,Stuffed Animals & Plush,Others
36,WOM,Women's Handbags,Totes & Shoppers,Others
37,MEN,Athletic Apparel,Shirts & Tops,Others
38,ELE,Video Games & Consoles,Consoles,Xbox
39,WOM,Underwear,Bras,Victoria's Secret
40,BEA,Makeup,Makeup Sets,Kylie Cosmetics
44,VIN,Collectibles,Glass,Others
45,WOM,Coats & Jackets,Vest,The North Face
46,KID,Toys,Arts & Crafts,Others
